strategy,symbol,signal_date,execution_date,status,execution_price,gross_invested,commission,slippage_cost,base,extra,crash
fixed,BYDDY,2021-06-07,2021-06-08,executed,8.34304844,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-07,2021-06-08,executed,8.34304844,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-07,2021-06-08,executed,244.99865911,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-07,2021-06-08,executed,244.99865911,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-07,2021-06-08,executed,17.47156442,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-07,2021-06-08,executed,17.47156442,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-07,2021-06-08,executed,123.4652988,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-07,2021-06-08,executed,123.4652988,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-07,2021-06-08,executed,659.28472662,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-07,2021-06-08,executed,659.28472662,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-07,2021-06-08,executed,48.17732362,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-07,2021-06-08,executed,48.17732362,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-07,2021-06-08,executed,8.34304844,22.5,0.02,0.01,22.5,0.0,0.0
dca_l2_v2,MSFT,2021-06-07,2021-06-08,executed,244.99865911,16.5,0.02,0.01,16.5,0.0,0.0
dca_l2_v2,NVDA,2021-06-07,2021-06-08,executed,17.47156442,13.5,0.01,0.01,13.5,0.0,0.0
dca_l2_v2,AAPL,2021-06-07,2021-06-08,executed,123.4652988,11.25,0.01,0.01,11.25,0.0,0.0
dca_l2_v2,ASML,2021-06-07,2021-06-08,executed,659.28472662,7.5,0.01,0.0,7.5,0.0,0.0
dca_l2_v2,KO,2021-06-07,2021-06-08,executed,48.17732362,3.75,0.0,0.0,3.75,0.0,0.0
fixed,BYDDY,2021-06-14,2021-06-15,executed,9.25463701,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-14,2021-06-15,executed,9.25463701,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-14,2021-06-15,executed,249.42503019,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-14,2021-06-15,executed,249.42503019,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-14,2021-06-15,executed,17.86217362,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-14,2021-06-15,executed,17.86217362,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-14,2021-06-15,executed,126.72261764,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-14,2021-06-15,executed,126.72261764,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-14,2021-06-15,executed,675.44549297,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-14,2021-06-15,executed,675.44549297,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-14,2021-06-15,executed,48.13475535,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-14,2021-06-15,executed,48.13475535,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-14,2021-06-15,executed,9.25463701,22.5,0.02,0.01,22.5,0.0,0.0
dca_l2_v2,MSFT,2021-06-14,2021-06-15,executed,249.42503019,16.5,0.02,0.01,16.5,0.0,0.0
dca_l2_v2,NVDA,2021-06-14,2021-06-15,executed,17.86217362,13.5,0.01,0.01,13.5,0.0,0.0
dca_l2_v2,AAPL,2021-06-14,2021-06-15,executed,126.72261764,11.25,0.01,0.01,11.25,0.0,0.0
dca_l2_v2,ASML,2021-06-14,2021-06-15,executed,675.44549297,7.5,0.01,0.0,7.5,0.0,0.0
dca_l2_v2,KO,2021-06-14,2021-06-15,executed,48.13475535,3.75,0.0,0.0,3.75,0.0,0.0
fixed,BYDDY,2021-06-21,2021-06-22,executed,9.33348941,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-21,2021-06-22,executed,9.33348941,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-21,2021-06-22,executed,252.25761578,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-21,2021-06-22,executed,252.25761578,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-21,2021-06-22,executed,18.41703392,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-21,2021-06-22,executed,18.41703392,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-21,2021-06-22,executed,128.85834397,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-21,2021-06-22,executed,128.85834397,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-21,2021-06-22,executed,649.56726232,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-21,2021-06-22,executed,649.56726232,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-21,2021-06-22,executed,46.89213035,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-21,2021-06-22,executed,46.89213035,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-21,2021-06-22,executed,9.33348941,22.49,0.02,0.01,22.49,0.0,0.0
