strategy,symbol,signal_date,execution_date,status,execution_price,gross_invested,commission,slippage_cost,base,extra,crash
fixed,BYDDY,2021-06-07,2021-06-08,executed,8.34304844,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-07,2021-06-08,executed,8.34304844,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-07,2021-06-08,executed,244.9986431,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-07,2021-06-08,executed,244.9986431,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-07,2021-06-08,executed,17.47156041,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-07,2021-06-08,executed,17.47156041,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-07,2021-06-08,executed,123.46529179,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-07,2021-06-08,executed,123.46529179,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-07,2021-06-08,executed,659.28466459,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-07,2021-06-08,executed,659.28466459,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-07,2021-06-08,executed,48.17732062,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-07,2021-06-08,executed,48.17732062,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-07,2021-06-08,executed,8.34304844,22.5,0.02,0.01,22.5,0.0,0.0
dca_l2_v2,MSFT,2021-06-07,2021-06-08,executed,244.9986431,16.5,0.02,0.01,16.5,0.0,0.0
dca_l2_v2,NVDA,2021-06-07,2021-06-08,executed,17.47156041,13.5,0.01,0.01,13.5,0.0,0.0
dca_l2_v2,AAPL,2021-06-07,2021-06-08,executed,123.46529179,11.25,0.01,0.01,11.25,0.0,0.0
dca_l2_v2,ASML,2021-06-07,2021-06-08,executed,659.28466459,7.5,0.01,0.0,7.5,0.0,0.0
dca_l2_v2,KO,2021-06-07,2021-06-08,executed,48.17732062,3.75,0.0,0.0,3.75,0.0,0.0
fixed,BYDDY,2021-06-14,2021-06-15,executed,9.25463601,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-14,2021-06-15,executed,9.25463601,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-14,2021-06-15,executed,249.4250462,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-14,2021-06-15,executed,249.4250462,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-14,2021-06-15,executed,17.86217763,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-14,2021-06-15,executed,17.86217763,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-14,2021-06-15,executed,126.72260264,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-14,2021-06-15,executed,126.72260264,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-14,2021-06-15,executed,675.44518482,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-14,2021-06-15,executed,675.44518482,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-14,2021-06-15,executed,48.13475835,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-14,2021-06-15,executed,48.13475835,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-14,2021-06-15,executed,9.25463601,22.5,0.02,0.01,22.5,0.0,0.0
dca_l2_v2,MSFT,2021-06-14,2021-06-15,executed,249.4250462,16.5,0.02,0.01,16.5,0.0,0.0
dca_l2_v2,NVDA,2021-06-14,2021-06-15,executed,17.86217763,13.5,0.01,0.01,13.5,0.0,0.0
dca_l2_v2,AAPL,2021-06-14,2021-06-15,executed,126.72260264,11.25,0.01,0.01,11.25,0.0,0.0
dca_l2_v2,ASML,2021-06-14,2021-06-15,executed,675.44518482,7.5,0.01,0.0,7.5,0.0,0.0
dca_l2_v2,KO,2021-06-14,2021-06-15,executed,48.13475835,3.75,0.0,0.0,3.75,0.0,0.0
fixed,BYDDY,2021-06-21,2021-06-22,executed,9.33348841,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-21,2021-06-22,executed,9.33348841,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-21,2021-06-22,executed,252.25758576,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-21,2021-06-22,executed,252.25758576,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-21,2021-06-22,executed,18.41703191,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-21,2021-06-22,executed,18.41703191,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-21,2021-06-22,executed,128.85837399,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-21,2021-06-22,executed,128.85837399,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-21,2021-06-22,executed,649.56732235,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-21,2021-06-22,executed,649.56732235,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-21,2021-06-22,executed,46.89213435,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-21,2021-06-22,executed,46.89213435,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-21,2021-06-22,executed,9.33348841,22.49,0.02,0.01,22.49,0.0,0.0
